trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,True,"{'a': 0, 'e': 0}",20,0,-14.692947702830395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",25,0,29.965388408590762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",20,16,7.328004408220274,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,0,29.937923729793678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0, 'e': 0}",30,12,28.098357593835527,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,13,13.686675054065194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,11,24.814209145362614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,0,-58.61488308354333,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
27,True,"{'a': 0, 'e': 0}",35,13,37.88162888502976,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,0,22.896749338851585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",25,11,24.512815167007926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,12,20.965186363695175,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,17,15.395395213910673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,0,23.342960608566145,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",20,0,26.75345153373882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",25,0,-10.953717167922013,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,True,"{'a': 0, 'e': 0}",30,3,39.60725290953047,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",35,0,39.22536477750927,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0, 'e': 0}",25,0,35.746856495034876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0, 'e': 0}",20,0,21.124553798018432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0, 'e': 0}",20,3,33.21776528310765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,0,30.249233988994693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0, 'e': 0}",30,0,17.635330598093958,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",20,0,12.801946548280593,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,True,"{'a': 0, 'e': 0}",25,14,-4.5752645492914565,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,0,35.091025715403504,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
