trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,False,"{'a': 0.4, 'e': 0.5609842574272288}",25,0,-37.5726198286745,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.1943299064553348}",25,0,-124.12470575668408,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.20300486381875213}",30,10,-33.771721514827966,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
30,False,"{'a': 0.4, 'e': 0.568289629767975}",30,0,-79.7429880784364,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.8438539587324921}",20,0,-18.7626206771925,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.4, 'e': 0.9861923022788637}",20,0,-136.9431218283686,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.9728325656974354}",30,0,-220.93261152539444,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
34,False,"{'a': 0.4, 'e': 0.8058839576404497}",25,16,-26.816992035527687,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.4, 'e': 0.5117039924531475}",25,0,-153.78137347222597,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
36,False,"{'a': 0.4, 'e': 0.1367372182078336}",30,12,-35.4753333060068,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
37,False,"{'a': 0.4, 'e': 0.25981735621375585}",30,0,-6.348015686528328,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.4, 'e': 0.6153524829547208}",20,9,8.990270623813139,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.873736983011081}",25,6,-110.65326041929231,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.9941776251838154}",30,15,-69.21818219515157,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.9576594803233847}",20,0,-112.33666433021023,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
